Season,Crop_Name,Total_Duration_Days,Total_Stages,Stage_1_Name,Stage_1_Days,Stage_2_Name,Stage_2_Days,Stage_3_Name,Stage_3_Days,Stage_4_Name,Stage_4_Days,Stage_5_Name,Stage_5_Days,Stage_6_Name,Stage_6_Days
Kharif,Dhan (Paddy),120-150,6,Nursery,25-30,Ropayi (Transplanting),5-7,Kalle Phootna (Tillering),30-35,Phool Aana (Flowering),25-30,Doodh Bharna (Milking),15-20,Pakna (Maturity),20-25
Kharif,Makka (Maize),90-110,5,Ankuran (Germination),7-10,Vridhi (Vegetative),30-40,Phool Aana (Tasseling),15-20,Daana Bharna (Grain Filling),25-30,Pakna (Maturity),15-20,
Kharif,Jwar (Sorghum),100-130,5,Ankuran (Germination),8-12,Vridhi (Vegetative),35-45,Phool Aana (Flowering),20-25,Daana Bharna (Grain Filling),25-30,Pakna (Maturity),15-20,
Kharif,Bajra (Pearl Millet),75-90,5,Ankuran (Germination),5-7,Vridhi (Vegetative),25-30,Phool Aana (Flowering),15-20,Daana Bharna (Grain Filling),20-25,Pakna (Maturity),10-15,
Kharif,Arhar (Pigeon Pea),150-180,5,Ankuran (Germination),10-15,Vridhi (Vegetative),60-70,Phool Aana (Flowering),30-40,Phali Banna (Pod Formation),30-40,Pakna (Maturity),20-25,
Kharif,Moong (Green Gram),60-75,5,Ankuran (Germination),5-7,Vridhi (Vegetative),20-25,Phool Aana (Flowering),10-15,Phali Banna (Pod Formation),15-20,Pakna (Maturity),10-12,
Kharif,Urad (Black Gram),70-90,5,Ankuran (Germination),5-7,Vridhi (Vegetative),25-30,Phool Aana (Flowering),15-20,Phali Banna (Pod Formation),20-25,Pakna (Maturity),10-12,
Kharif,Soyabean (Soybean),90-120,5,Ankuran (Germination),7-10,Vridhi (Vegetative),30-40,Phool Aana (Flowering),20-25,Phali Banna (Pod Formation),25-30,Pakna (Maturity),15-20,
Kharif,Moongphali (Groundnut),110-140,5,Ankuran (Germination),7-10,Vridhi (Vegetative),35-45,Phool Aana (Flowering),25-30,Phali Vikas (Pegging),30-40,Pakna (Maturity),20-25,
Kharif,Kapas (Cotton),150-180,6,Ankuran (Germination),10-15,Vridhi (Vegetative),45-60,Phool Aana (Flowering),30-40,Ganth Banna (Boll Formation),35-45,Rui Khilna (Boll Opening),20-25,Tudayi (Picking),10-15
Kharif,Ganna (Sugarcane),300-365,5,Ankuran (Germination),20-30,Kalle Phootna (Tillering),60-90,Badhwar (Grand Growth),120-150,Paripakwata (Maturation),80-100,Pakna (Ripening),20-30,
