Disease,Plant,Causal_Organism,Organic_Treatment_1,Organic_Treatment_2,Organic_Treatment_3,Organic_Treatment_4,Chemical_Treatment_1,Chemical_Treatment_2,Chemical_Treatment_3,Chemical_Treatment_4,Source
Adristyrannus,Multiple crops,Adristyrannus sp. (Hemiptera),Neem oil 5ml/L spray,NSKE 5% spray,Sticky yellow traps,Release natural predators,"Acephate, Malathion, Permethrin",Malathion 50EC @ 2ml/L,Permethrin 25EC @ 1ml/L,Chlorpyrifos 20EC @ 2ml/L,ICAR/TNAU
Aleurocanthus spiniferus,Citrus / Mango,Aleurocanthus spiniferus (Spiny whitefly),Neem oil 5ml/L spray,Yellow sticky traps 10/ha,NSKE 5% spray,Release Encarsia parasitoid,"Imidacloprid, Acetamiprid, Chlorpyrifos",Acetamiprid 20SP @ 0.5g/L,Chlorpyrifos 20EC @ 2ml/L,Thiamethoxam 25WG @ 0.3g/L,TNAU/ICAR
alfalfa plant bug,Alfalfa / Legumes,Adelphocoris lineolatus (Miridae),Neem oil 5ml/L spray,NSKE 5% spray,Crop rotation,Release predatory bugs,"Imidacloprid, Lambda-cyhalothrin, Chlorpyrifos",Lambda-cyhalothrin 5EC @ 1ml/L,Chlorpyrifos 20EC @ 2ml/L,Dimethoate 30EC @ 2ml/L,ICAR/TNAU
alfalfa seed chalcid,Alfalfa,Bruchophagus roddi (Chalcid wasp),Neem oil 5ml/L spray,Azadirachtin 0.03% spray,Crop rotation,Early harvest to reduce infestation,"Azadirachtin, Imidacloprid, Spinosad",Imidacloprid 17.8SL @ 0.5ml/L,Spinosad 45SC @ 0.5ml/L,Chlorpyrifos 20EC @ 2ml/L,ICAR/TNAU
alfalfa weevil,Alfalfa / Fodder crops,Hypera postica (Curculionidae),Neem oil 5ml/L spray,NSKE 5% spray,Early cutting of crop,Release Bathyplectes parasitoid,"Chlorpyrifos, Cyfluthrin, Carbaryl",Cyfluthrin 25WP @ 1g/L,Carbaryl 50WP @ 2g/L,Dimethoate 30EC @ 2ml/L,ICAR/TNAU
Algal Leaf Spot,Jackfruit,Cephaleuros virescens,Neem oil 5ml/L spray (ICAR),Bordeaux mixture 1% (copper sulfate + lime),Remove and burn infected leaves,Improve drainage and air circulation,Copper oxychloride 50WP @ 3g/L (TNAU),Mancozeb 75WP @ 2.5g/L,Copper hydroxide 77WP @ 2g/L,Ziram 76WG @ 2ml/L,TNAU Agritech / ICAR
Ampelophaga,Grape / Mulberry,Ampelophaga rubiginosa (Hawk moth),Neem oil 5ml/L spray,BT (Bacillus thuringiensis) 1kg/ha,Hand picking of larvae,Light traps 2-3/ha,"Chlorpyrifos, Methoxyfenozide, Spinosad",Methoxyfenozide 240SC @ 1ml/L,Spinosad 45SC @ 0.5ml/L,Chlorpyrifos 20EC @ 2ml/L,TNAU/ICAR
Anthracnose,Mango,Colletotrichum gloeosporioides,Pseudomonas fluorescens @ 5ml/L (ICAR-IIHR),Neem oil 5ml/L spray,Trichoderma viride @ 5g/L,Bordeaux mixture 0.5%,Trifloxystrobin 25WG + Tebuconazole 50WG @ 0.04% (Indian Phytopathology 2019),Propiconazole 25EC @ 1ml/L,Azoxystrobin 25EC @ 0.025% (TNAU Fungicide PDF),Carbendazim 50WP @ 1g/L; UPL Saaf 1.5g/L water,TNAU/ICAR/Indian Phytopathology
Aphids,Cotton,Aphis gossypii / Myzus persicae,Neem seed kernel extract (NSKE) 5% spray,Neem oil 5ml/L (ICAR),Beauveria bassiana 1WP @ 3kg/ha (TNAU),Release ladybird beetles (natural predators),Dimethoate 30EC @ 2ml/L (TNAU crop list),Imidacloprid 17.8SL @ 0.5ml/L,Thiamethoxam 25WG @ 0.3g/L,Acetamiprid 20SP @ 0.5g/L (TNAU),TNAU Pesticide crop-based PDF
Aphis citricola Vander Goot,Citrus / Apple,Aphis citricola (Citrus aphid),Neem oil 5ml/L spray,NSKE 5% spray,Release ladybird beetles,Soap water spray 10g/L,"Imidacloprid, Thiacloprid, Thiamethoxam",Thiacloprid 21.7SC @ 0.5ml/L,Thiamethoxam 25WG @ 0.3g/L,Chlorpyrifos 20EC @ 2ml/L,TNAU/ICAR
Apolygus lucorum,Cotton / Vegetables,Apolygus lucorum (Green plant bug - Miridae),Neem oil 5ml/L spray,NSKE 5% spray,Sticky traps,Remove weed hosts,"Lambda-cyhalothrin, Chlorpyrifos, Imidacloprid",Chlorpyrifos 20EC @ 2ml/L,Imidacloprid 17.8SL @ 0.5ml/L,Dimethoate 30EC @ 2ml/L,TNAU/ICAR
Apple Scab,Apple,Venturia inaequalis,Bordeaux mixture 1% (copper sulfate + lime),Wettable sulfur 80WP @ 3g/L,Neem oil spray 5ml/L,Remove and destroy fallen infected leaves,Captan 50WP @ 2.5kg/ha [TNAU Fungicide PDF],Captan 75WP @ 1.67kg/ha,Myclobutanil 10WP @ 1g/L,Difenoconazole 25EC @ 0.015% (TNAU Fungicide PDF),TNAU Fungicide Registration PDF
army worm,Maize / Rice / Wheat / Vegetables,Spodoptera frugiperda / Mythimna separata (Lepidoptera),BT (Bacillus thuringiensis) 1kg/ha spray,NPV virus 250LE/ha spray,Light traps 2-3/ha,Pheromone traps 10-12/ha,"Chlorpyrifos, Lambda-cyhalothrin, Bifenthrin",Lambda-cyhalothrin 5EC @ 1ml/L,Bifenthrin 10EC @ 1ml/L,Emamectin benzoate 5SG @ 0.4g/L,TNAU/ICAR
asiatic rice borer,Rice,Chilo suppressalis (Pyralidae),Neem oil 5ml/L spray,Trichogramma egg parasitoid release 50000/ha,Light traps 2/ha,BT spray 1kg/ha,"Emamectin benzoate, Fipronil, Chlorantraniliprole",Fipronil 5SC @ 1ml/L,Chlorantraniliprole 18.5SC @ 0.3ml/L,Carbofuran 3G @ 33kg/ha soil,TNAU/ICAR
