Crop,Disease_Context,Nutrient_Category,Nutrient_Name,Chemical_Formula,Fertilizer_Source,Dose_Basal,Dose_Top_Dressing,Application_Method,Timing,Role_in_Disease_Resistance,Deficiency_Symptoms,Organic_Alternative,Source
Tomato,All diseases / General growth,Macronutrient - Primary,Nitrogen (N),N,Urea (46% N),75 kg N/ha,75 kg N/ha at 30 DAT,Soil application,Basal + 30 DAT top dressing,Promotes healthy leaf & stem growth; N stress makes plants susceptible to diseases,Yellowing of older leaves; stunted growth; pale green plants,FYM 25 t/ha; Azospirillum 2 kg/ha; Neem cake 500 kg/ha,TNAU Fertilizer Schedule Vegetables PDF
Tomato,All diseases / General growth,Macronutrient - Primary,Phosphorus (P),P2O5,DAP (18-46-0) or SSP (16% P),100 kg P/ha,Nil (all basal),Soil incorporation,Basal only,Strengthens root system; improves plant immunity,Purplish discoloration of leaves; poor root development; delayed maturity,FYM 25 t/ha; Phosphobacteria 2 kg/ha,TNAU Fertilizer Schedule Vegetables PDF
Tomato,All diseases / General growth,Macronutrient - Primary,Potassium (K),K2O,MOP (60% K2O) or SOP,50 kg K/ha,Nil (all basal),Soil incorporation,Basal only,Enhances cell wall strength; increases resistance to fungal & bacterial diseases; improves drought tolerance,Leaf margin burning (scorch); weak stems; poor fruit quality,Wood ash 500 kg/ha; Banana peel compost,TNAU Fertilizer Schedule Vegetables PDF
Tomato,Early Blight / Late Blight / Septoria,Micronutrient,Zinc (Zn),ZnSO4,Zinc Sulphate 33% (ZnSO4.7H2O),50 kg ZnSO4/ha basal,0.5% ZnSO4 foliar spray,Soil basal + foliar spray,Basal at planting; foliar at 30 & 50 DAT,Activates enzymes; boosts disease resistance; improves fruit quality,Small leaves; interveinal chlorosis; stunted growth; rosette appearance,Zinc-enriched compost; Jeevamrit spray,TNAU Fertilizer Schedule Vegetables PDF
Tomato,Bacterial Spot / Blossom end rot,Micronutrient,Boron (B),H3BO3 / Na2B4O7,Borax (11% B) or Boric acid (17% B),10 kg Borax/ha basal,0.3% Borax foliar spray,Soil basal + foliar spray,Basal at transplanting; foliar at flowering,Cell wall development; prevents blossom end rot; improves fruit set,Hollow stems; distorted growing tips; poor fruit set; flower drop,Compost rich in organic matter,TNAU Fertilizer Schedule Vegetables PDF
Tomato,All fungal diseases,Secondary Macronutrient,Calcium (Ca),CaCO3 / Ca(NO3)2,Calcium Nitrate (15.5% Ca) or Lime,200-400 kg lime/ha,0.5% CaNO3 foliar spray,Soil application,Pre-planting soil correction,Strengthens cell walls; prevents Blossom End Rot; reduces susceptibility to Botrytis,Tip burn; blossom end rot; distorted young leaves; cavity fruit,Lime (CaCO3) 200 kg/ha; Dolomite,TNAU / ICAR
Tomato,All diseases,Secondary Macronutrient,Magnesium (Mg),MgSO4,Magnesium Sulphate (Epsom Salt) 16% Mg,MgSO4 @ 2% foliar spray,2% foliar spray,Foliar spray,At vegetative & fruiting stage,Central element of chlorophyll; improves photosynthesis; helps disease-stressed plants recover faster,Interveinal chlorosis of older leaves; premature leaf fall,Dolomite lime; compost,TNAU / ICAR
Tomato,All diseases,Secondary Macronutrient,Sulfur (S),S,Gypsum (CaSO4) 18% S or Elemental S,Gypsum 400 kg/ha,Nil,Soil incorporation,Basal,Antifungal properties; inhibits powdery mildew; amino acid synthesis,Yellowing of young leaves; stunted growth; reduced protein synthesis,Organic sulfur from mustard cake,TNAU / ICAR
Tomato,General growth / biofertilizer,Biofertilizer,Azospirillum (N-fixing bacteria),N/A,Azospirillum biofertilizer,2 kg/ha mixed in FYM,Nil,Seed/seedling treatment + soil application,At transplanting,Fixes atmospheric N; promotes root growth; increases resistance to soil-borne diseases,Not applicable (absence reduces N fixation),ICAR-NCIPM 2023,ICAR-NCIPM Indian Horticulture 2023
Tomato,Wilt / Root rot / Damping off,Biofertilizer,Trichoderma harzianum,N/A,Trichoderma viride/harzianum talc formulation 2%,2 kg/ha mixed in FYM or 5g/L seedling dip,Nil,Seed treatment + soil drench + seedling dip,At nursery stage & transplanting,Biocontrol of soil-borne pathogens (Fusarium Pythium Rhizoctonia); plant growth promoter,Not applicable,ICAR-NCIPM / ICAR-IIHR
