crop,category,soil,season,seed_per_kattha,seed_unit,yield_quintal_per_bigha,profit_rating,notes
Dhan (Paddy),Cereals,"Black,Loamy",Kharif,250.0,gram,8.0,High,Nursery mai pehle boi; transplanting method se lagao; Black/Loamy soil best; sandy mai 30% kam yield
Makka (Maize),Cereals,"Black,Sandy,Loamy",Kharif,75.0,gram,10.0,High,Hybrid seed use karo; 75g/kattha = 1.5kg/bigha; sabhi soil types chalte hain; irrigation zaroori
Jwar (Sorghum),Cereals,"Black,Red,Sandy",Kharif,60.0,gram,8.0,Very High,60g/kattha = 1.2kg/bigha; drought tolerant; Sandy aur Red soil best; kam paani chahiye
Bajra (Pearl Millet),Cereals,"Sandy,Red",Kharif,37.0,gram,6.0,High,37g/kattha = 750g/bigha; Sandy soil champion; heatwave tolerant; kam paani; UP/Rajasthan ke liye best
Arhar (Pigeon Pea),Pulses,"Black,Red",Kharif,100.0,gram,4.0,Very High,100g/kattha = 2kg/bigha; 150-180 din ki crop; excellent MSP; Black soil best; nitrogen fix karta hai
Moong (Green Gram),Pulses,"Sandy,Loamy",Kharif,125.0,gram,3.0,Very High,125g/kattha = 2.5kg/bigha; sirf 60-75 din; saal mai 2 crops possible; Sandy Loamy best
Urad (Black Gram),Pulses,"Black,Loamy",Kharif,125.0,gram,3.0,High,125g/kattha = 2.5kg/bigha; MSP acha; multiple harvesting; Black Loamy soil best
Soyabean (Soybean),Oilseeds,"Black,Loamy",Kharif,400.0,gram,6.0,Very High,400g/kattha = 8kg/bigha; Black soil champion; MP/Maharashtra main crop; good MSP
Moongphali (Groundnut),Oilseeds,"Sandy,Red",Kharif,1.25,kg,8.0,Excellent,1.25kg/kattha = 25kg/bigha (shell sahi); Sandy soil ke liye sabse best crop; high profit
Kapas (Cotton),Fiber Crops,Black,Kharif,37.0,gram,5.0,Very High,37g/kattha = 750g/bigha; sirf Black soil mai best; BT cotton hybrid use karo; high input cost
Ganna (Sugarcane),Fiber Crops,"Black,Loamy",Kharif,12.5,kg,200.0,Excellent,12.5kg/kattha = 250kg/bigha (seed pieces/ganne ke tukde); irrigation zaroori; 10-12 mahine
Jute (Jute),Fiber Crops,"Loamy,Black",Kharif,300.0,gram,12.0,Excellent,300g/kattha = 6kg/bigha; Loamy soil essential; West Bengal/Bihar popular; waterlogging tolerate
Sanai (Sunn Hemp),Fiber Crops,"Loamy,Sandy",Kharif,300.0,gram,8.0,Medium,300g/kattha = 6kg/bigha; green manure ke liye bhi use; loamy sandy soil; fiber industry demand
Til (Sesame),Oilseeds,"Sandy,Red",Kharif,75.0,gram,3.0,Excellent,75g/kattha = 1.5kg/bigha; premium price ₹10000-18000/quintal; Sandy/Red soil ideal; kam paani
Ragi (Finger Millet),Cereals,"Red,Sandy",Kharif,75.0,gram,6.0,Very High,75g/kattha = 1.5kg/bigha; Millets boom; Red/Sandy soil ideal; low water; superfood demand
Lobia (Cowpea),Pulses,"Sandy,Red",Kharif,300.0,gram,4.0,Medium,300g/kattha = 6kg/bigha; grain + fodder dual use; Sandy soil; 75-90 din; kam input cost
Gwar (Cluster Bean),Pulses,"Sandy,Red",Kharif,250.0,gram,4.0,High,250g/kattha = 5kg/bigha; Sandy soil best; guar gum industry; export hota hai; drought tolerant
Bhindi (Lady Finger),Vegetables,"Sandy,Loamy",Kharif,150.0,gram,20.0,Very High,150g/kattha = 3kg/bigha; 50-60 din; multiple pickings; Sandy Loamy soil; local market high demand
Baigan (Brinjal),Vegetables,"Loamy,Black",Kharif,5.0,gram,40.0,Very High,5g/kattha = 100g/bigha; nursery mai pehle seedling taiyar karo; transplanting se lagao; Loamy Black soil
Tamatar (Tomato),Vegetables,"Loamy,Sandy",Kharif,5.0,gram,80.0,Exceptional,5g/kattha = 100g/bigha; nursery seedling taiyar karo; high risk high reward; price volatile
Mirch (Chilli),Vegetables,"Loamy,Sandy",Kharif,5.0,gram,15.0,Exceptional,5g/kattha = 100g/bigha; nursery se transplant karo; dry chilli premium price; loamy soil best
Kheera (Cucumber),Vegetables,"Sandy,Loamy",Kharif,50.0,gram,30.0,Medium,50g/kattha = 1kg/bigha; 50-70 din; Sandy Loamy; local market; low price par high yield
Lauki (Bottle Gourd),Vegetables,"Sandy,Loamy",Kharif,50.0,gram,40.0,Medium,50g/kattha = 1kg/bigha; steady local demand; creeper support chahiye; Sandy Loamy soil
